OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Building condition,Lat,Long,Address,Building Entrance | مدخل البناية,Building Door Entrance | باب المدخل البناية,Water Collection | خزان تجميع المياه,Water Pump | مضخات مياه,Water Distribution Tank | خزان توزيع مياه,Water Main Supply | امدادات رئيسية للمياه,Electricity Room | غرفة الكهرباء,Electricity Main Supply | امدادات الكهرباء الرئيسية,Sanitation Main Supply | إمدادات الصرف الصحي الرئيسية,Sanitation Winter Water | مياه الشتاء,Building Glasses | زجاج المبنى,Building HandRail | درابزين المبنى,Building Balcony | برندات المبنى,Building Exterior | تلبيس المبنى,Building Structure Damage | جسم المبنى,Building Surface Isolation | عزل المبنى,Building Roof | سطح المبنى,,,,,,,,Damaged Doors,,Supplier UID,Survey Date,,,,,,,,,,,,,,,,,,,,,,,,,
FE29,Frontline Engineers,Shelter,Unknown,,,,,33.892006,35.511771,14.741999626159668,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,,,,,,,,,,116031613,2020-08-13T12:39:33.575+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE30,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.892096,35.512276,12.677000045776367,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,,,Minor | طفيف,,,,,,,,,,,1,,116034341,2020-08-13T12:43:07.658+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE31,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891408,35.512325,15.08899974822998,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,Minor | طفيف,,,,,,,,2 doors - plus 5m carre windows glass,,116034466,2020-08-13T12:58:19.827+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE32,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891408,35.512325,15.08899974822998,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,Minor | طفيف,,,,,,,,2 doors 3 windows,,116035370,2020-08-13T13:08:25.705+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE33,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.881247,35.490119,65,,,,,,,,,,,Minor | طفيف,,,,,,,,,,,,,,One wooden door slight damaged,,116035927,2020-08-13T12:18:33.061+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE34,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891942,35.512213,17.573999404907227,Major | كبير,Minor | طفيف,,,,,,,,,Minor | طفيف,,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,,,116036023,2020-08-13T13:07:51.096+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE35,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891408,35.512325,15.08899974822998,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,Minor | طفيف,,,,,,,,2 doors / 1 facade / handrail,,116036745,2020-08-13T13:13:01.514+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE36,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891556,35.512258,65,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116037716,2020-08-13T12:54:50.776+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE37,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.891454,35.512847,37.4010009765625,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,,,,,,,,,,116041337,2020-08-13T13:39:14.361+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE38,Frontline Engineers,Shelter,Unknown,,,,,33.893113,35.533648,65,,,,,,,,,,,Minor | طفيف,,,,,,,,,,,,,,,,116043625,2020-08-13T12:28:21.892+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
