OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Supplier UID,Survey Date,Lat,Long
RB136,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060242002,2020-08-10 00:30:54,,
RB137,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060246662,2020-08-10 00:36:14,,
RB138,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060260812,2020-08-10 00:54:17,,
RB139,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060265362,2020-08-10 01:00:36,,
RB140,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060279752,2020-08-10 01:23:44,,
RB141,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060345152,2020-08-10 04:10:55,,
RB142,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060759722,2020-08-10 10:00:10,,
RB143,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060796542,2020-08-10 10:15:50,,
RB144,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060815102,2020-08-10 10:23:52,,
RB145,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1060967642,2020-08-10 11:25:00,,
RB146,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061051412,2020-08-10 11:56:54,,
RB147,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061178012,2020-08-10 12:44:25,,
RB148,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061197752,2020-08-10 12:51:36,,
RB149,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061206212,2020-08-10 12:54:46,,
RB150,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061206712,2020-08-10 12:55:00,,
RB151,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061216362,2020-08-10 12:58:36,,
RB152,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061242922,2020-08-10 13:08:17,,
RB153,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061255732,2020-08-10 13:13:23,,
RB154,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061256712,2020-08-10 13:13:44,,
RB155,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061273902,2020-08-10 13:20:25,,
RB156,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061289572,2020-08-10 13:26:03,,
RB157,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061314942,2020-08-10 13:32:45,,
RB158,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061524892,2020-08-10 14:46:40,,
RB159,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061556082,2020-08-10 15:02:00,,
RB160,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061556082,2020-08-10 15:02:00,,
RB161,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061665702,2020-08-10 15:39:41,,
RB162,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061694502,2020-08-10 15:50:54,,
RB163,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061710362,2020-08-10 15:56:46,,
RB164,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061755852,2020-08-10 16:14:26,,
RB165,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061757152,2020-08-10 16:14:55,,
RB166,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1061928532,2020-08-10 17:25:49,,
RB167,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062020472,2020-08-10 18:04:10,,
RB168,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062101102,2020-08-10 18:37:22,,
