OML UID,Entity / Source,Survey Type,Status,Assignee,Supplier UID,Neighborhood,Zone,Lat,Long,Surveyed by,Survey Date
LRC145,Lebanese Red Cross,MSNA,Unknown,,Iqh0j,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC146,Lebanese Red Cross,MSNA,Unknown,,C6+YV,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC147,Lebanese Red Cross,MSNA,Unknown,,BEZUF,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC148,Lebanese Red Cross,MSNA,Unknown,,Jn0pb,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC149,Lebanese Red Cross,MSNA,Unknown,,ZSg6G,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/1/2020
LRC150,Lebanese Red Cross,MSNA,Unknown,,YPUm1,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/1/2020
LRC151,Lebanese Red Cross,MSNA,Unknown,,SShKU,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/1/2020
LRC152,Lebanese Red Cross,MSNA,Unknown,,xWiyy,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/1/2020
LRC153,Lebanese Red Cross,MSNA,Unknown,,GxvKQ,Mdaouar foncière,7,33.90109715,35.53268285,LRC,8/29/2020
LRC154,Lebanese Red Cross,MSNA,Unknown,,wSk6p,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/11/2020
LRC155,Lebanese Red Cross,MSNA,Unknown,,XtnXc,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/11/2020
LRC156,Lebanese Red Cross,MSNA,Unknown,,QlFj+,Mdaouar foncière,8,33.89926362,35.53198895,Concern,9/11/2020
LRC157,Lebanese Red Cross,MSNA,Unknown,,ejOgR,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/11/2020
LRC158,Lebanese Red Cross,MSNA,Unknown,,O67oN,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC159,Lebanese Red Cross,MSNA,Unknown,,0p4rz,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC160,Lebanese Red Cross,MSNA,Unknown,,fbFL2,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC161,Lebanese Red Cross,MSNA,Unknown,,kgxj9,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC162,Lebanese Red Cross,MSNA,Unknown,,+oc7U,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC163,Lebanese Red Cross,MSNA,Unknown,,N6/Cy,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC164,Lebanese Red Cross,MSNA,Unknown,,oL0q/,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/10/2020
LRC165,Lebanese Red Cross,MSNA,Unknown,,OH1+6,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/9/2020
LRC166,Lebanese Red Cross,MSNA,Unknown,,ZNRmW,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/9/2020
LRC167,Lebanese Red Cross,MSNA,Unknown,,eniBg,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/9/2020
LRC168,Lebanese Red Cross,MSNA,Unknown,,Jkv8V,Mdaouar foncière,8,33.89926362,35.53198895,LRC,9/9/2020
LRC169,Lebanese Red Cross,MSNA,Unknown,,pvX9I,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC170,Lebanese Red Cross,MSNA,Unknown,,AOqxl,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC171,Lebanese Red Cross,MSNA,Unknown,,I1DPH,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC172,Lebanese Red Cross,MSNA,Unknown,,wuO7m,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC173,Lebanese Red Cross,MSNA,Unknown,,OM32i,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC174,Lebanese Red Cross,MSNA,Unknown,,6zOTI,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC175,Lebanese Red Cross,MSNA,Unknown,,7KpEw,Mdaouar foncière,8,33.89926362,35.53198895,Save the Children,9/9/2020
LRC176,Lebanese Red Cross,MSNA,Unknown,,MmkK8,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/9/2020
LRC177,Lebanese Red Cross,MSNA,Unknown,,3cUI6,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/9/2020
LRC178,Lebanese Red Cross,MSNA,Unknown,,BWc9W,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC179,Lebanese Red Cross,MSNA,Unknown,,+p8wO,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC180,Lebanese Red Cross,MSNA,Unknown,,JOcMa,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC181,Lebanese Red Cross,MSNA,Unknown,,ZVxfn,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC182,Lebanese Red Cross,MSNA,Unknown,,qscF5,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC183,Lebanese Red Cross,MSNA,Unknown,,GxdTV,Mdaouar foncière,8,33.89926362,35.53198895,Concern,9/8/2020
LRC184,Lebanese Red Cross,MSNA,Unknown,,y+P6R,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC185,Lebanese Red Cross,MSNA,Unknown,,N3pHQ,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC186,Lebanese Red Cross,MSNA,Unknown,,qJNAJ,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC187,Lebanese Red Cross,MSNA,Unknown,,9mZt8,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC188,Lebanese Red Cross,MSNA,Unknown,,vaaQ1,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC189,Lebanese Red Cross,MSNA,Unknown,,h4jyy,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC190,Lebanese Red Cross,MSNA,Unknown,,kopqd,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC191,Lebanese Red Cross,MSNA,Unknown,,Kbfws,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/8/2020
LRC192,Lebanese Red Cross,MSNA,Unknown,,KUxL5,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC193,Lebanese Red Cross,MSNA,Unknown,,bsLiD,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC194,Lebanese Red Cross,MSNA,Unknown,,HSz5v,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC195,Lebanese Red Cross,MSNA,Unknown,,dHRGd,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC196,Lebanese Red Cross,MSNA,Unknown,,mxa91,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC197,Lebanese Red Cross,MSNA,Unknown,,LcRSr,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC198,Lebanese Red Cross,MSNA,Unknown,,4Sr/e,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/7/2020
LRC199,Lebanese Red Cross,MSNA,Unknown,,NoSkm,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/4/2020
LRC200,Lebanese Red Cross,MSNA,Unknown,,OXRcw,Mdaouar foncière,8,33.89926362,35.53198895,partner_other,9/4/2020
