OML UID,Entity / Source,Survey Type,Status,Assignee,Lat,Long,Neighborhood,Zone,#REF!
NK103,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK104,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK105,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK106,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK107,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK108,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK109,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK110,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK111,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK112,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK113,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK114,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK115,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK116,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK117,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK118,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK119,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK120,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK121,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK122,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK123,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK124,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK125,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK126,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK127,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK128,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK129,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK130,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK131,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK132,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK133,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK134,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK135,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK136,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK137,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK138,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK139,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK140,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK141,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK142,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK143,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK144,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK145,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK146,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK147,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK148,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK149,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK150,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK151,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK152,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK153,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK154,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK155,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
