OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long,Plot Number,Unit Type,Supplier UID,Survey Date,Damage Level
NS207,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS208,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS209,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS210,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS211,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS212,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS213,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS214,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS215,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS216,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS217,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS218,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS219,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS220,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS221,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS222,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS223,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS224,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS225,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS226,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS227,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS228,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS229,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS230,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS231,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS232,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS233,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS234,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS235,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS236,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS237,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS238,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS239,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS240,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS241,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS242,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS243,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS244,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS245,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS246,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS247,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS248,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS249,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS250,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS251,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS252,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS253,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS254,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS255,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
