OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long
BC91,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8911532,35.5378851
BC92,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896724,35.5278634
BC93,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8945527,35.5250088
BC94,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.891027,35.54254
BC95,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8968812,35.5273836
BC96,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959024,35.5286643
BC97,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897969,35.527498
BC98,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8945527,35.5250088
BC99,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959024,35.5286643
BC100,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8968812,35.5273836
BC101,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8945282,35.5250514
BC102,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8834057,35.5396295
BC103,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8904616,35.5433169
BC104,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8981705,35.5267251
BC105,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.894433,35.525265
BC106,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954908,35.5278416
BC107,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.888394,35.542999
BC108,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943359,35.5250497
BC109,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.894433,35.525265
BC110,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943359,35.5250497
BC111,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8941413,35.5251925
BC112,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943359,35.5250497
BC113,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8981716,35.5255647
BC114,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943359,35.5250497
BC115,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8941413,35.5251925
BC116,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943359,35.5250497
BC117,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8941413,35.5251925
BC118,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943359,35.5250497
BC119,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895051,35.5191914
BC120,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895645,35.524792
BC121,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8936056,35.5280209
BC122,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89476013,35.53399277
BC123,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895794,35.534981
BC124,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8957634,35.52663422
BC125,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896882,35.525045
BC126,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897076,35.528295
BC127,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.894083,35.519694
BC128,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8929747,35.5228258
BC129,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965804,35.5249035
BC130,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89749,35.533578
BC131,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89593,35.534422
BC132,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896336,35.5320479
BC133,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,,
BC134,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896336,35.5320479
BC135,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.894704,35.534025
BC136,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8972945,35.5344693
BC137,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.892844,35.540976
BC138,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.892844,35.540976
BC139,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8996148,35.528035
BC140,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895704,35.5147909
BC141,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897868,35.527315
BC142,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.9000175,35.5270543
BC143,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8945254,35.5328114
BC144,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8976445,35.5240154
BC145,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.888306,35.522528
BC146,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8969508,35.5261414
BC147,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8974587,35.5224442
BC148,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8974587,35.5224442
BC149,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8957193,35.524757
BC150,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8969508,35.5261414
BC151,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8978023,35.5255379
BC152,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8973354,35.5249357
BC153,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8974587,35.5224442
BC154,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8976081,35.5274258
BC155,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8954129,35.5253538
BC156,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8960522,35.5236831
BC157,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8972204,35.5274821
BC158,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8971283,35.5218096
BC159,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8927632,35.5322541
BC160,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8979676,35.5253263
BC161,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8941992,35.5261615
BC162,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8985331,35.5250651
BC163,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959728,35.5281527
BC164,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947603,35.5374637
BC165,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947603,35.5374637
BC166,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8942215,35.5378693
