OML UID,Entity / Source,Survey Type,Status,Assignee,Survey Date,Zone,Neighborhood حي,Building Exterior Assessment التقييم الخارجي للمبنى,Lat,Long,Supplier UID
VC359,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,45,Rmeil الرميل,Good جيد,33.889,35.524,116909409
VC360,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,12,Gemmayze الجميزة,Good جيد,33.89597,35.514675,116909478
VC361,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894108,35.521608,116912494
VC362,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,12,Gemmayze الجميزة,Good جيد,33.895972,35.514472,116915077
VC363,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894003,35.521073,116922396
VC364,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Needs Repair يحتاج إصلاح,33.885,35.752,116922599
VC365,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.885,35.845,116924965
VC366,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Sioufi السيوفي,Good جيد,33.883175,35.518269,116926441
VC367,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.527,116926986
VC368,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894284,35.52089,116927988
VC369,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.8851,35.752,116930569
VC370,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Other آخر,Needs Repair يحتاج إصلاح,33.883963,35.518647,116939458
VC371,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894577,35.520545,116939797
VC372,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,62,Karm el Zeitoun كرم الزيتون,Good جيد,33.88885,35.527997,116941121
VC373,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.875,116942152
VC374,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.8946509,35.5205453,116943629
VC375,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.752,116944851
VC376,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888809,35.527891,116946568
VC377,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888896,35.528011,116949169
